"","N","N_pos","mid_age","name"
"466",4,3,6,"Cikupa, IND [50]"
"467",7,7,7,"Cikupa, IND [50]"
"468",5,5,8,"Cikupa, IND [50]"
"469",6,6,9,"Cikupa, IND [50]"
"470",9,7,10,"Cikupa, IND [50]"
"471",4,4,11,"Cikupa, IND [50]"
"472",5,4,12,"Cikupa, IND [50]"
"473",4,3,13,"Cikupa, IND [50]"
"474",9,9,14,"Cikupa, IND [50]"
"475",10,9,15,"Cikupa, IND [50]"
"476",9,8,16,"Cikupa, IND [50]"
"477",4,4,17,"Cikupa, IND [50]"
"478",3,3,18,"Cikupa, IND [50]"
"479",5,3,1,"Benda, IND [50]"
"480",2,1,2,"Benda, IND [50]"
"481",6,1,3,"Benda, IND [50]"
"482",7,2,4,"Benda, IND [50]"
"483",5,3,5,"Benda, IND [50]"
"484",5,3,6,"Benda, IND [50]"
"485",8,4,7,"Benda, IND [50]"
"486",8,5,8,"Benda, IND [50]"
"487",2,2,9,"Benda, IND [50]"
"488",7,6,10,"Benda, IND [50]"
"489",4,3,11,"Benda, IND [50]"
"490",5,4,12,"Benda, IND [50]"
"491",8,5,13,"Benda, IND [50]"
"492",3,2,14,"Benda, IND [50]"
"493",10,7,15,"Benda, IND [50]"
"494",9,8,16,"Benda, IND [50]"
"495",7,6,17,"Benda, IND [50]"
"496",7,2,1,"Pesanggrahan, IND [50]"
"497",3,0,2,"Pesanggrahan, IND [50]"
"498",6,4,3,"Pesanggrahan, IND [50]"
"499",5,3,4,"Pesanggrahan, IND [50]"
"500",3,2,5,"Pesanggrahan, IND [50]"
"501",8,4,6,"Pesanggrahan, IND [50]"
"502",5,2,7,"Pesanggrahan, IND [50]"
"503",4,3,8,"Pesanggrahan, IND [50]"
"504",8,8,9,"Pesanggrahan, IND [50]"
"505",7,7,10,"Pesanggrahan, IND [50]"
"506",6,5,11,"Pesanggrahan, IND [50]"
"507",7,7,12,"Pesanggrahan, IND [50]"
"508",5,4,13,"Pesanggrahan, IND [50]"
"509",6,5,14,"Pesanggrahan, IND [50]"
"510",8,7,15,"Pesanggrahan, IND [50]"
"511",8,8,16,"Pesanggrahan, IND [50]"
"512",5,5,17,"Pesanggrahan, IND [50]"
"513",4,4,18,"Pesanggrahan, IND [50]"
"514",4,3,1,"Pulo Gadung, IND [50]"
"515",5,0,2,"Pulo Gadung, IND [50]"
"516",8,4,3,"Pulo Gadung, IND [50]"
"517",5,4,4,"Pulo Gadung, IND [50]"
"518",5,2,5,"Pulo Gadung, IND [50]"
"519",5,3,6,"Pulo Gadung, IND [50]"
"520",6,5,7,"Pulo Gadung, IND [50]"
"521",7,4,8,"Pulo Gadung, IND [50]"
"522",6,4,9,"Pulo Gadung, IND [50]"
"523",4,3,10,"Pulo Gadung, IND [50]"
"524",7,6,11,"Pulo Gadung, IND [50]"
"525",6,5,12,"Pulo Gadung, IND [50]"
"526",6,4,13,"Pulo Gadung, IND [50]"
"527",6,5,14,"Pulo Gadung, IND [50]"
"528",11,10,15,"Pulo Gadung, IND [50]"
"529",10,9,16,"Pulo Gadung, IND [50]"
"530",6,6,17,"Pulo Gadung, IND [50]"
